x_cm,y_cm,z_cm,is_manual
-6.4803338050842285,3.9312400817871094,17.55721640586853,False
-6.3553993701934814,3.9312400817871094,17.64050602912903,False
-6.25008225440979,3.9312400817871094,17.71071743965149,False
-6.105660676956177,3.9312400817871094,17.80699849128723,False
-5.995941162109375,3.9312400817871094,17.880144834518433,False
-5.925699234008789,3.9312400817871094,17.95038676261902,False
-4.537072658538818,3.9312400817871094,17.95038676261902,False
-4.537072658538818,3.9312400817871094,17.95038676261902,False
-5.223033428192139,3.9312400817871094,18.63634753227234,False
-5.469022989273071,3.9312400817871094,19.128326654434204,False
-6.119471311569214,3.9312400817871094,20.42922329902649,False
-6.866422653198242,3.9312400817871094,21.923125982284546,False
-7.538602590560913,3.9312400817871094,23.267485857009888,False
-8.321664094924927,3.9312400817871094,24.833608865737915,False
-8.358276128768921,3.9312400817871094,24.906832933425903,False
-8.39346170425415,3.9312400817871094,24.977204084396362,False
-8.425032138824463,3.9312400817871094,25.040344953536987,False
-8.461145639419556,3.9312400817871094,25.112571954727173,False
-8.496230363845825,3.9312400817871094,25.182741403579712,False
-8.53235673904419,3.9312400817871094,25.25499415397644,False
-8.57496976852417,3.9312400817871094,25.3402202129364,False
-8.607576847076416,3.9312400817871094,25.405434370040894,False
-8.642674207687378,3.9312400817871094,25.475629091262817,False
-8.680285453796387,3.9312400817871094,25.513240337371826,False
-8.716859817504883,3.9312400817871094,25.549814701080322,False
-8.751953125,3.9312400817871094,25.58490800857544,False
-8.751953125,3.9312400817871094,25.620019912719727,False
-8.751953125,3.9312400817871094,25.663538217544556,False
-8.751953125,3.9312400817871094,25.663538217544556,False
-8.751953125,3.9312400817871094,25.663538217544556,False
-9.472915649414062,3.9312400817871094,26.384500741958618,False
-10.184905529022217,3.9312400817871094,27.808480501174927,False
-10.981445789337158,3.9312400817871094,29.40156102180481,False
-11.757161140441895,3.9312400817871094,30.952991724014282,False
-11.849710941314697,3.9312400817871094,31.138091325759888,False
-11.942898750305176,3.9312400817871094,31.324466943740845,False
-12.039051055908203,3.9312400817871094,31.5167715549469,False
